unit_id,review_pmid,outcome,analysis_type,effect_measure,model,pooled_effect,ci_lower,ci_upper,direction,p_value,i2,tau2
MA-017,41970007,PM1,continuous,SMD,fixed_effects,0.21,-0.12,0.54,positive,0.084,42.0,0.001
MA-018,41970007,PM10,continuous,SMD,fixed_effects,0.17,-0.11,0.45,positive,0.084,63.0,0.027
MA-019,41970007,PM25,continuous,SMD,random_effects,0.21,0.06,0.36,positive,0.024,73.0,0.010
MA-020,41970007,RespiratorySymptoms,continuous,SMD,random_effects,0.23,0.06,0.4,positive,0.024,71.0,0.039
MA-021,41970007,SBP,continuous,MD,random_effects,5.35,4.0,6.7,positive,<0.001,76.0,0.061
MA-022,41830012,AllCauseMortality,dichotomous,OR,random_effects,1.31,1.0408,1.6487,positive,0.024,24.0,0.067
MA-023,41830012,CardiovascularDeath,dichotomous,OR,random_effects,1.1275,0.7558,1.682,positive,0.084,41.0,0.011
MA-024,41830012,MACE,dichotomous,OR,random_effects,0.7408,0.6005,0.9139,negative,0.024,50.0,0.004
MA-025,41830012,MI,continuous,SMD,random_effects,0.89,0.5,1.28,positive,<0.001,47.0,0.064
MA-026,41830012,Stroke,dichotomous,OR,random_effects,1.522,1.1388,2.034,positive,0.006,72.0,0.064
MA-027,40325863,40325863,continuous,SMD,random_effects,0.69,0.46,0.92,positive,0.006,51.0,0.057
MA-028,41761990,Albumin,continuous,MD,fixed_effects,4.55,1.52,7.58,positive,<0.001,68.0,0.021
MA-029,41761990,BUN,continuous,MD,fixed_effects,1.85,-1.22,4.92,positive,0.084,43.0,0.024
MA-030,41761990,Creatinine,continuous,MD,random_effects,-2.2,-4.31,-0.09,negative,<0.001,40.0,0.013
MA-031,41761990,Urea,continuous,MD,fixed_effects,3.55,0.8,6.3,positive,<0.001,29.0,0.000
MA-032,41761990,UricAcid,continuous,MD,fixed_effects,1.25,-1.78,4.28,positive,0.084,72.0,0.059
MA-033,41938012,CO,continuous,SMD,random_effects,0.39,0.04,0.74,positive,0.024,65.0,0.049
MA-034,41938012,HighTemperature,continuous,SMD,random_effects,0.69,0.33,1.05,positive,0.006,41.0,0.044
MA-035,41938012,NO2,continuous,SMD,random_effects,0.53,0.34,0.72,positive,0.006,47.0,0.036
MA-036,41938012,Ozone,continuous,SMD,random_effects,0.13,-0.19,0.45,positive,0.084,30.0,0.057
MA-037,41938012,ParticulateMatter,continuous,SMD,random_effects,-0.44,-0.59,-0.29,negative,0.006,21.0,0.005
MA-038,41938012,SO2,continuous,SMD,random_effects,-0.48,-0.66,-0.3,negative,0.006,72.0,0.033
MA-039,41388744,DBP,continuous,MD,random_effects,1.35,-2.12,4.82,positive,0.084,51.0,0.018
MA-040,41388744,SBP,continuous,MD,random_effects,3.55,0.76,6.34,positive,<0.001,58.0,0.006
MA-041,41888952,HDL-C,continuous,MD,random_effects,4.65,4.26,5.04,positive,<0.001,29.0,0.047
MA-042,41888952,LDL-C,continuous,MD,random_effects,4.05,1.22,6.88,positive,<0.001,26.0,0.015
MA-043,41888952,TC,continuous,MD,random_effects,3.95,0.6,7.3,positive,<0.001,51.0,0.014
MA-044,41888952,TG,continuous,MD,random_effects,-1.2,-2.15,-0.25,negative,<0.001,72.0,0.025
MA-045,41901064,DBP,continuous,MD,random_effects,-4.1,-6.29,-1.91,negative,<0.001,48.0,0.041
MA-046,41901064,SBP,continuous,MD,random_effects,1.55,-0.08,3.18,positive,0.084,33.0,0.041
MA-047,42003421,DBP,continuous,MD,random_effects,1.75,-0.44,3.94,positive,0.084,81.0,0.031
MA-048,42003421,SBP,continuous,MD,random_effects,-2.9,-3.93,-1.87,negative,<0.001,74.0,0.021
MA-049,42032055,Dyspareunia,continuous,SMD,fixed_effects,0.51,0.36,0.66,positive,0.006,74.0,0.029
MA-050,42032055,VaginalDryness,continuous,SMD,random_effects,0.17,-0.14,0.48,positive,0.084,38.0,0.020
MA-051,42015424,ESelectin,continuous,SMD,random_effects,-0.12,-0.32,0.08,negative,0.084,64.0,0.009
MA-052,42015424,ICAM,continuous,SMD,random_effects,-0.76,-0.91,-0.61,negative,0.006,63.0,0.050
MA-053,42015424,VCAM,continuous,SMD,fixed_effects,-0.44,-0.62,-0.26,negative,0.006,71.0,0.040
MA-054,39952828,39952828,continuous,Hedges_g,random_effects,-0.8,-1.02,-0.58,negative,0.006,20.0,0.069
MA-055,41065407,Disability,continuous,Hedges_g,random_effects,-0.52,-0.82,-0.22,negative,0.006,71.0,0.047
MA-056,41065407,PainIntensity,continuous,Hedges_g,random_effects,0.61,0.32,0.9,positive,0.006,73.0,0.040
MA-057,41065407,QoL,continuous,Hedges_g,random_effects,0.49,0.33,0.65,positive,0.006,63.0,0.005
MA-058,41743679,30CST,continuous,Hedges_g,fixed_effects,-0.2,-0.5,0.1,negative,0.084,22.0,0.063
MA-059,41743679,ArmCircumference,continuous,MD,fixed_effects,-2.1,-5.37,1.17,negative,0.084,34.0,0.064
MA-060,41743679,ArmCurlTest,continuous,Hedges_g,random_effects,0.57,0.27,0.87,positive,0.006,66.0,0.050
MA-061,41743679,BMI,continuous,MD,random_effects,3.85,2.7,5.0,positive,<0.001,43.0,0.068
MA-062,41743679,BackScratch,continuous,MD,fixed_effects,4.85,3.1,6.6,positive,<0.001,28.0,0.012
MA-063,41743679,BodyFatMass,continuous,Hedges_g,fixed_effects,-0.3,-0.48,-0.12,negative,0.024,27.0,0.041
MA-064,41743679,BodyFatPercentage,continuous,Hedges_g,random_effects,0.17,0.02,0.32,positive,0.024,30.0,0.026
MA-065,41743679,BodyWeight,continuous,MD,random_effects,1.45,-1.82,4.72,positive,0.084,57.0,0.014
MA-066,41743679,HDL-C,continuous,MD,fixed_effects,4.75,4.08,5.42,positive,<0.001,68.0,0.008
MA-067,41743679,HandGripTest,continuous,Hedges_g,fixed_effects,-0.38,-0.68,-0.08,negative,0.024,34.0,0.023
MA-068,41743679,HipCircumference,continuous,MD,fixed_effects,-4.8,-5.19,-4.41,negative,<0.001,23.0,0.032
MA-069,41743679,LDL-C,continuous,MD,fixed_effects,2.05,-1.38,5.48,positive,0.084,61.0,0.005
MA-070,41743679,SitAndReach,continuous,Hedges_g,random_effects,0.67,0.4,0.94,positive,0.006,26.0,0.044
MA-071,41743679,TUG,continuous,Hedges_g,fixed_effects,0.19,-0.2,0.58,positive,0.084,65.0,0.060
MA-072,41743679,ThighCircumference,continuous,MD,fixed_effects,0.85,-2.66,4.36,positive,0.084,20.0,0.036
MA-073,41743679,TotalCholesterol,continuous,MD,fixed_effects,-3.4,-5.71,-1.09,negative,<0.001,68.0,0.032
MA-074,41743679,Triglycerides,continuous,MD,fixed_effects,-3.3,-3.77,-2.83,negative,<0.001,71.0,0.030
MA-075,41743679,WaistCircumference,continuous,MD,fixed_effects,-4.0,-6.15,-1.85,negative,<0.001,49.0,0.052
MA-076,41743679,WaistToHipRatio,continuous,Hedges_g,random_effects,-0.86,-1.15,-0.57,negative,<0.001,68.0,0.012
MA-077,41601519,DepressiveSymptoms,continuous,Hedges_g,random_effects,0.17,-0.06,0.4,positive,0.084,31.0,0.025
MA-078,41601519,InsomniaSeverity,continuous,Hedges_g,random_effects,-0.84,-1.02,-0.66,negative,<0.001,34.0,0.044
MA-079,41601519,SleepEfficiency,continuous,Hedges_g,random_effects,-0.52,-0.7,-0.34,negative,0.006,29.0,0.012
MA-080,41656984,Anxiety,continuous,Hedges_g,random_effects,-0.82,-1.1,-0.54,negative,<0.001,37.0,0.040
MA-081,41656984,Depression,continuous,Hedges_g,random_effects,0.47,0.12,0.82,positive,0.006,39.0,0.049
MA-082,41656984,QualityOfLife,continuous,Hedges_g,random_effects,0.37,0.13,0.61,positive,0.024,56.0,0.039
MA-083,41656984,SelfEfficacy,continuous,Hedges_g,random_effects,0.33,0.07,0.59,positive,0.024,80.0,0.044
MA-084,41656984,SelfManagementBehavior,continuous,Hedges_g,random_effects,0.59,0.36,0.82,positive,0.006,43.0,0.038
MA-085,41561801,Adiponectin,continuous,MD,random_effects,1.75,0.44,3.06,positive,<0.001,30.0,0.061
MA-086,41561801,BMI,continuous,MD,random_effects,-2.5,-3.29,-1.71,negative,<0.001,46.0,0.052
MA-087,41561801,CRP,continuous,MD,random_effects,1.55,-0.84,3.94,positive,0.084,80.0,0.011
MA-088,41561801,IL-6,continuous,MD,random_effects,1.55,-1.8,4.9,positive,0.084,31.0,0.054
MA-089,41561801,TNF-alpha,continuous,MD,random_effects,-3.6,-4.35,-2.85,negative,<0.001,22.0,0.025
MA-090,41561801,WC,continuous,Hedges_g,random_effects,0.49,0.11,0.87,positive,0.006,69.0,0.012
MA-091,41639864,VEGF,continuous,MD,random_effects,-2.7,-5.57,0.17,negative,0.084,27.0,0.066
MA-092,41652340,CCL2,continuous,MD,random_effects,-2.6,-3.07,-2.13,negative,<0.001,43.0,0.023
MA-093,41652340,IL-6,continuous,MD,random_effects,3.35,2.72,3.98,positive,<0.001,76.0,0.068
MA-094,41652340,IL-8,continuous,MD,random_effects,2.95,2.32,3.58,positive,<0.001,58.0,0.028
MA-095,41652340,TNF-alpha,continuous,MD,random_effects,-1.3,-2.37,-0.23,negative,<0.001,47.0,0.020
